"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
48025,"Bee, TX",3,Per capita personal income (dollars) 2,34147
48027,"Bell, TX",1,Personal income (thousands of dollars),19038235
48027,"Bell, TX",2,Population (persons) 1,380399
48027,"Bell, TX",3,Per capita personal income (dollars) 2,50048
48029,"Bexar, TX",1,Personal income (thousands of dollars),105071698
48029,"Bexar, TX",2,Population (persons) 1,2030981
48029,"Bexar, TX",3,Per capita personal income (dollars) 2,51734
48031,"Blanco, TX",1,Personal income (thousands of dollars),860123
48031,"Blanco, TX",2,Population (persons) 1,11882
48031,"Blanco, TX",3,Per capita personal income (dollars) 2,72389
48033,"Borden, TX",1,Personal income (thousands of dollars),58516
48033,"Borden, TX",2,Population (persons) 1,618
48033,"Borden, TX",3,Per capita personal income (dollars) 2,94686
48035,"Bosque, TX",1,Personal income (thousands of dollars),955523
48035,"Bosque, TX",2,Population (persons) 1,18499
48035,"Bosque, TX",3,Per capita personal income (dollars) 2,51653
48037,"Bowie, TX",1,Personal income (thousands of dollars),4529512
48037,"Bowie, TX",2,Population (persons) 1,92282
48037,"Bowie, TX",3,Per capita personal income (dollars) 2,49083
48039,"Brazoria, TX",1,Personal income (thousands of dollars),21335206
48039,"Brazoria, TX",2,Population (persons) 1,379121
48039,"Brazoria, TX",3,Per capita personal income (dollars) 2,56275
48041,"Brazos, TX",1,Personal income (thousands of dollars),11463164
48041,"Brazos, TX",2,Population (persons) 1,237612
48041,"Brazos, TX",3,Per capita personal income (dollars) 2,48243
48043,"Brewster, TX",1,Personal income (thousands of dollars),524146
48043,"Brewster, TX",2,Population (persons) 1,9473
48043,"Brewster, TX",3,Per capita personal income (dollars) 2,55331
48045,"Briscoe, TX",1,Personal income (thousands of dollars),88002
48045,"Briscoe, TX",2,Population (persons) 1,1400
48045,"Briscoe, TX",3,Per capita personal income (dollars) 2,62859
48047,"Brooks, TX",1,Personal income (thousands of dollars),302733
48047,"Brooks, TX",2,Population (persons) 1,6969
48047,"Brooks, TX",3,Per capita personal income (dollars) 2,43440
48049,"Brown, TX",1,Personal income (thousands of dollars),1755409
48049,"Brown, TX",2,Population (persons) 1,38135
48049,"Brown, TX",3,Per capita personal income (dollars) 2,46031
48051,"Burleson, TX",1,Personal income (thousands of dollars),978044
48051,"Burleson, TX",2,Population (persons) 1,18109
48051,"Burleson, TX",3,Per capita personal income (dollars) 2,54009
48053,"Burnet, TX",1,Personal income (thousands of dollars),3136602
48053,"Burnet, TX",2,Population (persons) 1,51146
48053,"Burnet, TX",3,Per capita personal income (dollars) 2,61326
48055,"Caldwell, TX",1,Personal income (thousands of dollars),1905992
48055,"Caldwell, TX",2,Population (persons) 1,46940
48055,"Caldwell, TX",3,Per capita personal income (dollars) 2,40605
48057,"Calhoun, TX",1,Personal income (thousands of dollars),1250478
48057,"Calhoun, TX",2,Population (persons) 1,19782
48057,"Calhoun, TX",3,Per capita personal income (dollars) 2,63213
48059,"Callahan, TX",1,Personal income (thousands of dollars),713503
48059,"Callahan, TX",2,Population (persons) 1,14098
48059,"Callahan, TX",3,Per capita personal income (dollars) 2,50610
48061,"Cameron, TX",1,Personal income (thousands of dollars),16104524
48061,"Cameron, TX",2,Population (persons) 1,422636
48061,"Cameron, TX",3,Per capita personal income (dollars) 2,38105
48063,"Camp, TX",1,Personal income (thousands of dollars),628263
48063,"Camp, TX",2,Population (persons) 1,12602
48063,"Camp, TX",3,Per capita personal income (dollars) 2,49854
48065,"Carson, TX",1,Personal income (thousands of dollars),324479
48065,"Carson, TX",2,Population (persons) 1,5714
48065,"Carson, TX",3,Per capita personal income (dollars) 2,56787
48067,"Cass, TX",1,Personal income (thousands of dollars),1324875
48067,"Cass, TX",2,Population (persons) 1,28573
48067,"Cass, TX",3,Per capita personal income (dollars) 2,46368
48069,"Castro, TX",1,Personal income (thousands of dollars),626439
48069,"Castro, TX",2,Population (persons) 1,7366
48069,"Castro, TX",3,Per capita personal income (dollars) 2,85045
48071,"Chambers, TX",1,Personal income (thousands of dollars),2927810
48071,"Chambers, TX",2,Population (persons) 1,48727
48071,"Chambers, TX",3,Per capita personal income (dollars) 2,60086
48073,"Cherokee, TX",1,Personal income (thousands of dollars),2217972
48073,"Cherokee, TX",2,Population (persons) 1,51150
48073,"Cherokee, TX",3,Per capita personal income (dollars) 2,43362
48075,"Childress, TX",1,Personal income (thousands of dollars),267132
48075,"Childress, TX",2,Population (persons) 1,6787
48075,"Childress, TX",3,Per capita personal income (dollars) 2,39359
48077,"Clay, TX",1,Personal income (thousands of dollars),538670
48077,"Clay, TX",2,Population (persons) 1,10311
48077,"Clay, TX",3,Per capita personal income (dollars) 2,52242
48079,"Cochran, TX",1,Personal income (thousands of dollars),144537
48079,"Cochran, TX",2,Population (persons) 1,2480
48079,"Cochran, TX",3,Per capita personal income (dollars) 2,58281
48081,"Coke, TX",1,Personal income (thousands of dollars),169854
48081,"Coke, TX",2,Population (persons) 1,3304
48081,"Coke, TX",3,Per capita personal income (dollars) 2,51409
48083,"Coleman, TX",1,Personal income (thousands of dollars),442566
48083,"Coleman, TX",2,Population (persons) 1,7722
48083,"Coleman, TX",3,Per capita personal income (dollars) 2,57312
48085,"Collin, TX",1,Personal income (thousands of dollars),86854395
48085,"Collin, TX",2,Population (persons) 1,1114661
48085,"Collin, TX",3,Per capita personal income (dollars) 2,77920
48087,"Collingsworth, TX",1,Personal income (thousands of dollars),144345
48087,"Collingsworth, TX",2,Population (persons) 1,2607
48087,"Collingsworth, TX",3,Per capita personal income (dollars) 2,55368
48089,"Colorado, TX",1,Personal income (thousands of dollars),1263801
48089,"Colorado, TX",2,Population (persons) 1,20642
48089,"Colorado, TX",3,Per capita personal income (dollars) 2,61225
48091,"Comal, TX",1,Personal income (thousands of dollars),12455366
48091,"Comal, TX",2,Population (persons) 1,174977
48091,"Comal, TX",3,Per capita personal income (dollars) 2,71183
48093,"Comanche, TX",1,Personal income (thousands of dollars),707707
48093,"Comanche, TX",2,Population (persons) 1,13805
48093,"Comanche, TX",3,Per capita personal income (dollars) 2,51265
48095,"Concho, TX",1,Personal income (thousands of dollars),131374
48095,"Concho, TX",2,Population (persons) 1,3348
48095,"Concho, TX",3,Per capita personal income (dollars) 2,39240
48097,"Cooke, TX",1,Personal income (thousands of dollars),2485166
48097,"Cooke, TX",2,Population (persons) 1,42398
48097,"Cooke, TX",3,Per capita personal income (dollars) 2,58615
48099,"Coryell, TX",1,Personal income (thousands of dollars),3157431
48099,"Coryell, TX",2,Population (persons) 1,84389
48099,"Coryell, TX",3,Per capita personal income (dollars) 2,37415
48101,"Cottle, TX",1,Personal income (thousands of dollars),102040
48101,"Cottle, TX",2,Population (persons) 1,1355
48101,"Cottle, TX",3,Per capita personal income (dollars) 2,75306
48103,"Crane, TX",1,Personal income (thousands of dollars),232899
48103,"Crane, TX",2,Population (persons) 1,4636
48103,"Crane, TX",3,Per capita personal income (dollars) 2,50237
48105,"Crockett, TX",1,Personal income (thousands of dollars),175373
48105,"Crockett, TX",2,Population (persons) 1,3013
48105,"Crockett, TX",3,Per capita personal income (dollars) 2,58205
48107,"Crosby, TX",1,Personal income (thousands of dollars),265710
48107,"Crosby, TX",2,Population (persons) 1,5085
48107,"Crosby, TX",3,Per capita personal income (dollars) 2,52254
48109,"Culberson, TX",1,Personal income (thousands of dollars),154204
48109,"Culberson, TX",2,Population (persons) 1,2182
48109,"Culberson, TX",3,Per capita personal income (dollars) 2,70671
48111,"Dallam, TX",1,Personal income (thousands of dollars),525836
48111,"Dallam, TX",2,Population (persons) 1,7175
48111,"Dallam, TX",3,Per capita personal income (dollars) 2,73287
48113,"Dallas, TX",1,Personal income (thousands of dollars),187409835
48113,"Dallas, TX",2,Population (persons) 1,2588235
48113,"Dallas, TX",3,Per capita personal income (dollars) 2,72408
48115,"Dawson, TX",1,Personal income (thousands of dollars),564960
48115,"Dawson, TX",2,Population (persons) 1,12367
48115,"Dawson, TX",3,Per capita personal income (dollars) 2,45683
48117,"Deaf Smith, TX",1,Personal income (thousands of dollars),1155575
48117,"Deaf Smith, TX",2,Population (persons) 1,18379
48117,"Deaf Smith, TX",3,Per capita personal income (dollars) 2,62875
48119,"Delta, TX",1,Personal income (thousands of dollars),254539
48119,"Delta, TX",2,Population (persons) 1,5344
48119,"Delta, TX",3,Per capita personal income (dollars) 2,47631
48121,"Denton, TX",1,Personal income (thousands of dollars),66669049
48121,"Denton, TX",2,Population (persons) 1,943883
48121,"Denton, TX",3,Per capita personal income (dollars) 2,70633
48123,"DeWitt, TX",1,Personal income (thousands of dollars),1239703
48123,"DeWitt, TX",2,Population (persons) 1,19949
48123,"DeWitt, TX",3,Per capita personal income (dollars) 2,62144
48125,"Dickens, TX",1,Personal income (thousands of dollars),83851
48125,"Dickens, TX",2,Population (persons) 1,1734
48125,"Dickens, TX",3,Per capita personal income (dollars) 2,48357
48127,"Dimmit, TX",1,Personal income (thousands of dollars),447978
48127,"Dimmit, TX",2,Population (persons) 1,8479
48127,"Dimmit, TX",3,Per capita personal income (dollars) 2,52834
48129,"Donley, TX",1,Personal income (thousands of dollars),164725
48129,"Donley, TX",2,Population (persons) 1,3361
48129,"Donley, TX",3,Per capita personal income (dollars) 2,49011
48131,"Duval, TX",1,Personal income (thousands of dollars),482481
48131,"Duval, TX",2,Population (persons) 1,9998
48131,"Duval, TX",3,Per capita personal income (dollars) 2,48258
48133,"Eastland, TX",1,Personal income (thousands of dollars),1006041
48133,"Eastland, TX",2,Population (persons) 1,17826
48133,"Eastland, TX",3,Per capita personal income (dollars) 2,56437
48135,"Ector, TX",1,Personal income (thousands of dollars),8450895
48135,"Ector, TX",2,Population (persons) 1,160758
48135,"Ector, TX",3,Per capita personal income (dollars) 2,52569
48137,"Edwards, TX",1,Personal income (thousands of dollars),104752
48137,"Edwards, TX",2,Population (persons) 1,1429
48137,"Edwards, TX",3,Per capita personal income (dollars) 2,73304
48139,"Ellis, TX",1,Personal income (thousands of dollars),10912548
48139,"Ellis, TX",2,Population (persons) 1,203187
